R,C_zz,C_xx,Var_C_zz,Var_C_xx,C_xxpp,Var_C_xxpp
1.0,-0.103181947725196,-0.15432674820915265,2.346570672148718e-8,1.402656363280741e-8,0.08850489982730526,1.37808731422856e-7
3.0,-0.01094135269870366,-0.07183599271090363,6.4594413618130914e-9,1.8514372492062225e-7,0.05684131399664079,2.498480716735599e-7
5.0,-0.003765810705973259,-0.04944827043154854,2.794711153983155e-9,2.8296085374888286e-7,0.042350877380529006,3.205826105323519e-7
7.0,-0.0018578745895955226,-0.038057333412457976,1.5112294903519024e-9,3.424644689706269e-7,0.0338084668595056,3.6341120257413033e-7
9.0,-0.0010949148350696588,-0.03096528721808767,8.600686598963213e-10,3.752847535584561e-7,0.02810282423449119,3.889328714088477e-7
11.0,-0.0007189871280904907,-0.026067844397943317,6.22103267323036e-10,3.958258420260971e-7,0.02399425021760218,4.0325223223450484e-7
13.0,-0.0005073508219547873,-0.0224616448077439,4.412400367354161e-10,4.0752051559103577e-7,0.020885650224412033,4.109114457762791e-7
15.0,-0.0003768363570912761,-0.01968716221386089,3.38974759529837e-10,4.1227241362630637e-7,0.018445919885427143,4.128459610036497e-7
17.0,-0.00029063272122969097,-0.017482311534585772,2.583899570485739e-10,4.1280079987024475e-7,0.016478125845188058,4.120590573750745e-7
19.0,-0.00023120365358587566,-0.015687006135487895,2.0719012472861654e-10,4.098988458021394e-7,0.014857705845339532,4.076413433141068e-7
23.0,-0.00015595996381680114,-0.012938293581783515,1.4401699325810077e-10,3.9716351784852954e-7,0.012345077759725775,3.9328425372982864e-7
27.0,-0.00011266758545357119,-0.010934497893367506,1.0264139119507349e-10,3.8019565786106743e-7,0.010490019436204067,3.758729688081307e-7
31.0,-8.524297175813233e-5,-0.009410794818971358,8.275485201744579e-11,3.631438841708638e-7,0.009065153340337096,3.5901822871732417e-7
35.0,-6.666530959430497e-5,-0.008214442029419584,6.73217794990894e-11,3.4745985934217657e-7,0.007938750609657482,3.437798569894037e-7
39.0,-5.379498321674534e-5,-0.007252324802569597,6.039883302176303e-11,3.336026713552631e-7,0.007027340415398449,3.301813660477483e-7
45.0,-4.009964988814906e-5,-0.006117572915362836,4.556826802341452e-11,3.1088799902907445e-7,0.005946397340735751,3.068671775028066e-7
53.0,-2.8412926068051696e-5,-0.004997059011020844,3.082974992182782e-11,2.8028368976420594e-7,0.004873338542265371,2.7635341215594003e-7
61.0,-2.1463502113596074e-5,-0.004175173592392429,2.33621765954448e-11,2.525073739305386e-7,0.004082499714334477,2.4870280103502835e-7
69.0,-1.6888911908640527e-5,-0.0035475643639221966,2.0427359715945792e-11,2.2589292456969148e-7,0.003475009542488716,2.230045004658868e-7
79.0,-1.275858322883156e-5,-0.002945164141148376,1.3654356762895347e-11,1.9825161668514812e-7,0.002890397313302119,1.9558639784783337e-7
91.0,-9.629334234148788e-6,-0.002409905146452188,1.0799498089744119e-11,1.7068839601544708e-7,0.002369029161760064,1.6830942419160227e-7
105.0,-7.155758733312448e-6,-0.001955582386301171,7.973431753168029e-12,1.4165821515250193e-7,0.0019266009391884858,1.3983337045164903e-7
121.0,-5.442365877290407e-6,-0.00158114325208279,5.974145224978924e-12,1.1439721431770636e-7,0.0015597873492172569,1.1276202714530808e-7
139.0,-4.187729930209947e-6,-0.0012740749420169302,4.964501921505962e-12,9.21853444615467e-8,0.0012584355418679266,9.102600828803627e-8
159.0,-3.21997157599596e-6,-0.001027099551283209,3.915062516736133e-12,7.454398962919036e-8,0.0010158312090299895,7.381376408269667e-8
181.0,-2.5330787138399993e-6,-0.0008277252700581021,3.818931588113869e-12,6.00631672371206e-8,0.0008193824480292488,5.9447899619817333e-8
