R,Corr_x_p,Corr_x,Corr_x_m,Corr_z_p,Corr_z,Corr_z_m
38.0,1.992093577338458e-6,1.0852991723944592e-5,6.2484328112724844e-6,7.8823609677324e-25,5.538412018021493e-23,-4.3246321727805075e-22
39.0,2.0231439602252125e-6,8.958898412599403e-6,6.1399585128740405e-6,-7.747231236840746e-11,-9.320806365869193e-11,-4.5062384313377e-12
40.0,4.723316408367926e-6,9.098539054544749e-6,5.068396436076953e-6,3.2165411565541587e-23,1.939415333550639e-23,1.7673271827056534e-23
41.0,4.689425242463245e-6,2.310173886756527e-5,5.147396565263847e-6,-1.3683483451765978e-9,-1.897267540399493e-9,-2.9734223061525344e-11
42.0,1.8953387720598174e-5,2.2935977187221304e-5,1.306955002178399e-5,-9.061523433691889e-24,7.877364456052276e-22,6.186534674289476e-24
43.0,1.6657356780767185e-5,9.343811849469158e-5,1.2975772207682264e-5,-7.067169624888207e-10,-3.3510518766179305e-8,-6.052559434621539e-10
44.0,1.8206462074824924e-5,8.211893829397992e-5,5.286156901904503e-5,6.510921235823667e-24,-2.219172033508954e-22,2.5129895319680233e-22
45.0,1.9953228191018737e-5,8.979364118246786e-5,4.645786959681364e-5,-5.393670260816551e-9,-1.73073437222462e-8,-1.0690352111992886e-8
46.0,3.998487572841186e-5,9.840863124602797e-5,5.079974679828496e-5,4.3899377527433e-24,1.594492218600655e-22,-7.079626729391704e-23
47.0,3.6594802373517694e-5,0.0001973098303550179,5.567358093771275e-5,-8.605052090018011e-9,-1.320898946282442e-7,-5.521299972836115e-9
48.0,5.395457514528546e-5,0.0001805811351581501,0.00011162582662707075,-2.6704090301623776e-23,1.075104675777059e-22,5.086555975420829e-23
49.0,6.192296040667207e-5,0.00026627330165940284,0.00010216175468305082,-1.0985833235658239e-6,-2.107360298322734e-7,-4.2138644754104774e-8
50.0,0.0005288585505434104,0.0003055983866356102,0.00015064113811750034,-3.9899713594895526e-23,-6.539757897743276e-22,3.4297123262778806e-23
51.0,0.0005153510121101169,0.0026105047946582633,0.0001728888644966298,-1.1535251039237743e-5,-2.690410212210611e-5,-6.722793597916425e-8
52.0,0.001728098735997552,0.002543830078313198,0.0014768638495779392,1.5515556982987114e-23,-9.771365118431816e-22,-2.0862705800396624e-22
53.0,0.0007619010253775085,0.00853011560318682,0.0014391433755715432,-1.752178179569729e-6,-0.00028249616429757107,-8.58281041085306e-6
54.0,0.0008006088219452052,0.0037608405638379764,0.0048258173640772315,1.1082390718575201e-23,3.799731220726035e-22,-3.1172111030727315e-22
55.0,0.0006131007843539064,0.003951907210676897,0.0021276534270787857,-3.6349880392723526e-7,-4.2910519523545305e-5,-9.012049585329734e-5
56.0,0.0006226587267290023,0.0030263436326781966,0.0022357472425561485,3.324724399559755e-22,2.714056840242739e-22,1.2121710026656487e-22
57.0,0.0017318218534692236,0.003073522868068746,0.0017121200147390296,-1.8004408114958782e-7,-8.902018476194411e-6,-1.3689096651777944e-5
58.0,0.0008041336292659532,0.008548493486987585,0.0017388111387475612,7.092789921638215e-23,8.142188242147266e-21,8.658246128303727e-23
59.0,0.0008165866303186951,0.003969307090352323,0.004836214446009375,-7.505591373569147e-7,-4.409246285182193e-6,-2.839876857149331e-6
60.0,0.0008324400938196746,0.004030776706316443,0.002245591029604211,1.108247893028922e-23,1.7370110932805376e-21,2.597479555128896e-21
61.0,0.0007411932824315649,0.0041090329328273565,0.0022803667763681315,-1.1613931049511496e-6,-1.8381054630140596e-5,-1.4066154247358498e-6
62.0,0.0009664056010548901,0.0036586267645121995,0.0023246393600366297,2.8814418013883705e-23,2.714078745001026e-22,5.541324780733029e-22
63.0,0.0010119437948202545,0.0047703046789666125,0.0020698271149207936,-1.0216384118259317e-6,-2.844230261159969e-5,-5.863830980940963e-6
64.0,0.0009631892364852401,0.004995087170452057,0.0026987464440842122,4.211355074266849e-23,7.056597658580665e-22,8.658315864254739e-23
65.0,0.001073175566377831,0.004754429020670266,0.0028259146210486245,-7.342353398208391e-6,-2.501973600377648e-5,-9.07351936998921e-6
66.0,0.0016226037673455769,0.005297336041336876,0.002689764968212574,6.649511468087375e-24,1.0313530910267767e-21,2.251160041765058e-22
67.0,0.0014614533296171525,0.008009388558729806,0.0029969085345245526,-4.011611433365453e-6,-0.0001798128786158491,-7.981669500502906e-6
68.0,0.0014933763548601652,0.0072139285097938734,0.004531221870893994,2.2164999049176952e-24,1.6284531409686161e-22,3.290170389286185e-22
69.0,0.001553534198086813,0.007371505151309534,0.0040811992574658965,-1.424813790970088e-5,-9.824362307771089e-5,-5.736299411430647e-5
70.0,0.0023130155011995383,0.007668452300495131,0.00417034647752423,2.216504851007686e-24,5.428167514712036e-23,5.195008785572063e-23
71.0,0.0022227011655959607,0.01141735393494433,0.00433834100132879,-3.1999306591480464e-5,-0.00034893426585407277,-3.134118321111945e-5
72.0,0.0033605696046766255,0.010971550292707338,0.0064592401128260755,1.5515569003045382e-23,5.428179428367723e-23,1.7316665438809776e-23
73.0,0.00356307496749039,0.01658822146149213,0.00620703169529007,-1.6496933918993642e-5,-0.0007836571083366763,-0.00011131524278334428
74.0,0.0031037410569934687,0.017587815042538573,0.009384600501572814,-8.86605344438122e-24,3.7997343017163085e-22,1.731670345972101e-23
75.0,0.0031822568972045564,0.015320481657925109,0.00995010937447018,-5.261354161819901e-5,-0.0004040068648003417,-0.0002499983229221457
76.0,0.00446191092196596,0.015708046363782292,0.008667390906557784,1.108256055842176e-23,-2.1712801376602587e-22,1.2121720049328133e-22
77.0,0.004643423667324153,0.02202459036451577,0.008886651298120735,-0.0013740883811302256,-0.0012884959168620975,-0.0001288842244588618
78.0,0.018925118625431166,0.02292056160472409,0.012460165320410565,-2.2165124171682248e-23,2.714098641207062e-22,-6.926707879330336e-23
79.0,0.014771803938866922,0.09341692292247052,0.012967051014562503,-0.0007594081663666276,-0.03365117066907841,-0.0004110494435421103
80.0,0.017213011732279848,0.07291560477347013,0.05284957786154162,-2.6598149029393347e-23,-5.4281979871022945e-22,8.658380072227559e-23
81.0,0.017665828894089065,0.08496573376696209,0.041251186736209505,-0.0014129916982372384,-0.018597765736786592,-0.010735226085742792
82.0,0.02123826969896804,0.08720089998968913,0.04806841225124516,-2.2165124124464265e-23,-6.513837582492753e-22,-1.7316762356460137e-22
83.0,0.0172735447190658,0.10483494681363274,0.04933293250759691,-0.0019338391428782068,-0.034603905719866254,-0.005932965061971759
84.0,0.02329836633977391,0.0852645327314099,0.05930919699459505,-1.418567943482935e-22,-5.428197969247795e-22,-2.0780114825024007e-22
